polarity;category;term_target;start_end;sentence;cleaned_sentence;parsed_sentence;parsed_sentence_list;Spacy_parsed_list
854;negative;SERVICE#GENERAL;staff;75:80;We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.;four us arrived noon place empty staff acted like imposing rude;[(('four', 'CD'), 'nsubj', ('We', 'PRP')), (('four', 'CD'), 'nsubj', ('there', 'RB')), (('four', 'CD'), 'cop', ('were', 'VBD')), (('four', 'CD'), 'acl', ('arrived', 'VBD')), (('arrived', 'VBD'), 'mark', ('of', 'IN')), (('arrived', 'VBD'), 'nsubj', ('us', 'PRP')), (('arrived', 'VBD'), 'ccomp', ('empty', 'JJ')), (('empty', 'JJ'), 'nmod', ('noon', 'NN')), (('noon', 'NN'), 'case', ('at', 'IN')), (('empty', 'JJ'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('the', 'DT')), (('empty', 'JJ'), 'cop', ('was', 'VBD')), (('arrived', 'VBD'), 'cc', ('and', 'CC')), (('arrived', 'VBD'), 'conj', ('acted', 'VBD')), (('acted', 'VBD'), 'nsubj', ('staff', 'NN')), (('staff', 'NN'), 'det', ('the', 'DT')), (('acted', 'VBD'), 'advcl', ('imposing', 'VBG')), (('imposing', 'VBG'), 'mark', ('like', 'IN')), (('imposing', 'VBG'), 'nsubj', ('we', 'PRP')), (('imposing', 'VBG'), 'aux', ('were', 'VBD')), (('imposing', 'VBG'), 'nmod', ('them', 'PRP')), (('them', 'PRP'), 'case', ('on', 'IN')), (('arrived', 'VBD'), 'cc', ('and', 'CC')), (('arrived', 'VBD'), 'conj', ('rude', 'JJ')), (('rude', 'JJ'), 'nsubj', ('they', 'PRP')), (('rude', 'JJ'), 'cop', ('were', 'VBD')), (('rude', 'JJ'), 'advmod', ('very', 'RB'))];staff acted the;staff acted the
855;positive;DRINKS#STYLE_OPTIONS;sake menu;4:13;The sake menu should not be overlooked!;sake menu not overlooked;[(('overlooked', 'VBN'), 'nsubjpass', ('menu', 'NN')), (('menu', 'NN'), 'det', ('The', 'DT')), (('menu', 'NN'), 'compound', ('sake', 'NN')), (('overlooked', 'VBN'), 'aux', ('should', 'MD')), (('overlooked', 'VBN'), 'neg', ('not', 'RB')), (('overlooked', 'VBN'), 'auxpass', ('be', 'VB'))];sake menu menu overlooked the sake;sake menu menu overlooked the sake
856;negative;FOOD#QUALITY;food;31:35;Also, specify if you like your food spicy- its rather bland if you don't.;also specify like food spicy rather bland don;[(('specify', 'VB'), 'advmod', ('Also', 'RB')), (('specify', 'VB'), 'advcl', ('like', 'VBP')), (('like', 'VBP'), 'mark', ('if', 'IN')), (('like', 'VBP'), 'nsubj', ('you', 'PRP')), (('like', 'VBP'), 'ccomp', ('spicy', 'VB')), (('spicy', 'VB'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'nmod:poss', ('your', 'PRP$')), (('spicy', 'VB'), 'dobj', ('t', 'NN')), (('t', 'NN'), 'nmod:poss', ('its', 'PRP$')), (('t', 'NN'), 'amod', ('bland', 'JJ')), (('bland', 'JJ'), 'advmod', ('rather', 'RB')), (('bland', 'JJ'), 'ccomp', ('don', 'VB')), (('don', 'VB'), 'mark', ('if', 'IN')), (('don', 'VB'), 'nsubj', ('you', 'PRP'))];food spicy your;food spicy
857;neutral;FOOD#STYLE_OPTIONS;pastrami sandwich on a roll;13:40;I had a huge pastrami sandwich on a roll.;huge pastrami sandwich roll;[(('had', 'VBD'), 'nsubj', ('I', 'PRP')), (('had', 'VBD'), 'dobj', ('sandwich', 'NN')), (('sandwich', 'NN'), 'det', ('a', 'DT')), (('sandwich', 'NN'), 'amod', ('huge', 'JJ')), (('sandwich', 'NN'), 'compound', ('pastrami', 'NN')), (('sandwich', 'NN'), 'nmod', ('roll', 'NN')), (('roll', 'NN'), 'case', ('on', 'IN')), (('roll', 'NN'), 'det', ('a', 'DT'))];pastrami sandwich sandwich had a huge pastrami roll on roll a sandwich roll roll sandwich on a;a pastrami pastrami sandwich a huge sandwich had pastrami on on sandwich roll a roll roll on a
858;positive;RESTAURANT#GENERAL;Suan;17:21;I recently tried Suan and I thought that it was great.;recently tried suan thought great;[(('tried', 'VBD'), 'nsubj', ('I', 'PRP')), (('tried', 'VBD'), 'advmod', ('recently', 'RB')), (('tried', 'VBD'), 'ccomp', ('thought', 'VBD')), (('thought', 'VBD'), 'nsubj', ('Suan', 'NNP')), (('Suan', 'NNP'), 'cc', ('and', 'CC')), (('Suan', 'NNP'), 'conj', ('I', 'PRP')), (('thought', 'VBD'), 'ccomp', ('great', 'JJ')), (('great', 'JJ'), 'mark', ('that', 'IN')), (('great', 'JJ'), 'nsubj', ('it', 'PRP')), (('great', 'JJ'), 'cop', ('was', 'VBD'))];suan thought and i;suan tried
859;positive;FOOD#QUALITY;Sushi;9:14;Favorite Sushi in NYC;favorite sushi nyc;[(('Sushi', 'NNP'), 'compound', ('Favorite', 'NNP')), (('Sushi', 'NNP'), 'nmod', ('NYC', 'NNP')), (('NYC', 'NNP'), 'case', ('in', 'IN'))];sushi favorite nyc;sushi sushi favorite in
860;positive;FOOD#QUALITY;food;30:34;The waiter was attentive, the food was delicious and the views of the city were great.;waiter attentive food delicious views city great;[(('attentive', 'JJ'), 'nsubj', ('waiter', 'NN')), (('waiter', 'NN'), 'det', ('The', 'DT')), (('attentive', 'JJ'), 'cop', ('was', 'VBD')), (('attentive', 'JJ'), 'ccomp', ('delicious', 'JJ')), (('delicious', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('delicious', 'JJ'), 'cop', ('was', 'VBD')), (('delicious', 'JJ'), 'cc', ('and', 'CC')), (('delicious', 'JJ'), 'conj', ('great', 'JJ')), (('great', 'JJ'), 'nsubj', ('views', 'NNS')), (('views', 'NNS'), 'det', ('the', 'DT')), (('views', 'NNS'), 'nmod', ('city', 'NN')), (('city', 'NN'), 'case', ('of', 'IN')), (('city', 'NN'), 'det', ('the', 'DT')), (('great', 'JJ'), 'cop', ('were', 'VBD'))];food delicious the;food was the
861;positive;AMBIENCE#GENERAL;bar scene;34:43;The place itself is beautiful the bar scene seems to be happening.;place beautiful bar scene seems happening;[(('place', 'NN'), 'det', ('The', 'DT')), (('place', 'NN'), 'ccomp', ('beautiful', 'JJ')), (('beautiful', 'JJ'), 'nsubj', ('itself', 'PRP')), (('beautiful', 'JJ'), 'cop', ('is', 'VBZ')), (('beautiful', 'JJ'), 'ccomp', ('seems', 'VBZ')), (('seems', 'VBZ'), 'nsubj', ('scene', 'NN')), (('scene', 'NN'), 'det', ('the', 'DT')), (('scene', 'NN'), 'compound', ('bar', 'NN')), (('seems', 'VBZ'), 'xcomp', ('happening', 'VBG')), (('happening', 'VBG'), 'mark', ('to', 'TO')), (('happening', 'VBG'), 'cop', ('be', 'VB'))];bar scene scene seems the bar;bar scene scene seems the bar
862;negative;AMBIENCE#GENERAL;place;19:24;First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.;first place not romantic claimed citysearch editorial review;[(('romantic', 'JJ'), 'nsubj', ('First', 'NNP')), (('First', 'NNP'), 'nmod', ('place', 'NN')), (('place', 'NN'), 'case', ('of', 'IN')), (('place', 'NN'), 'det:predet', ('all', 'PDT')), (('place', 'NN'), 'det', ('this', 'DT')), (('romantic', 'JJ'), 'cop', ('is', 'VBZ')), (('romantic', 'JJ'), 'neg', ('not', 'RB')), (('romantic', 'JJ'), 'advcl', ('review', 'NN')), (('review', 'NN'), 'mark', ('as', 'IN')), (('review', 'NN'), 'csubj', ('claimed', 'VBN')), (('claimed', 'VBN'), 'nmod', ('Citysearch', 'NNP')), (('Citysearch', 'NNP'), 'case', ('by', 'IN')), (('review', 'NN'), 'cop', ('s', 'VBZ')), (('review', 'NN'), 'amod', ('editorial', 'JJ'))];place first of all this;place of all this
863;positive;RESTAURANT#GENERAL;place;39:44;Please take my advice, go and try this place.;please take advice go try place;[(('Please', 'VB'), 'xcomp', ('take', 'VB')), (('take', 'VB'), 'ccomp', ('go', 'VB')), (('go', 'VB'), 'nsubj', ('advice', 'NN')), (('advice', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('go', 'VB'), 'cc', ('and', 'CC')), (('go', 'VB'), 'conj', ('try', 'VB')), (('go', 'VB'), 'dobj', ('place', 'NN')), (('place', 'NN'), 'det', ('this', 'DT'))];place go this;place try this
864;positive;FOOD#QUALITY;Spreads;0:7;Spreads and toppings are great - though a bit pricey.;spreads toppings great though bit pricey;[(('great', 'JJ'), 'nsubj', ('Spreads', 'NNS')), (('Spreads', 'NNS'), 'cc', ('and', 'CC')), (('Spreads', 'NNS'), 'conj', ('toppings', 'NNS')), (('great', 'JJ'), 'cop', ('are', 'VBP')), (('great', 'JJ'), 'dep', ('though', 'IN')), (('great', 'JJ'), 'dep', ('pricey', 'JJ')), (('pricey', 'JJ'), 'nmod:npmod', ('bit', 'RB')), (('bit', 'RB'), 'det', ('a', 'DT'))];spreads great and toppings;spreads are and toppings
865;negative;FOOD#QUALITY;kimchee;187:194;However, once I received my predictably mediocre order of what Dokebi thinks passes as Korean fair, (sometimes you have to settle when it's your only option), I got through about half my kimchee before I found a piece of random lettuce accompanied by a far more disgusting, slimy, clearly bad piece of fish skin.;however received predictably mediocre order dokebi thinks passes korean fair sometimes settle option got half kimchee found piece random lettuce accompanied far disgusting slimy clearly bad piece fish skin;[(('However', 'RB'), 'dep', ('received', 'VBD')), (('received', 'VBD'), 'mark', ('once', 'IN')), (('received', 'VBD'), 'nsubj', ('I', 'PRP')), (('received', 'VBD'), 'ccomp', ('passes', 'VBZ')), (('passes', 'VBZ'), 'nsubj', ('order', 'NN')), (('order', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('order', 'NN'), 'amod', ('mediocre', 'JJ')), (('mediocre', 'JJ'), 'advmod', ('predictably', 'RB')), (('order', 'NN'), 'acl', ('thinks', 'VBZ')), (('thinks', 'VBZ'), 'mark', ('of', 'IN')), (('thinks', 'VBZ'), 'dobj', ('what', 'WP')), (('thinks', 'VBZ'), 'nsubj', ('Dokebi', 'NNP')), (('passes', 'VBZ'), 'advcl', ('have', 'VBP')), (('have', 'VBP'), 'mark', ('as', 'IN')), (('have', 'VBP'), 'nsubj', ('fair', 'NN')), (('fair', 'NN'), 'amod', ('Korean', 'JJ')), (('have', 'VBP'), 'advmod', ('sometimes', 'RB')), (('have', 'VBP'), 'nsubj', ('you', 'PRP')), (('have', 'VBP'), 'xcomp', ('settle', 'VB')), (('settle', 'VB'), 'mark', ('to', 'TO')), (('settle', 'VB'), 'advcl', ('option', 'NN')), (('option', 'NN'), 'advmod', ('when', 'WRB')), (('option', 'NN'), 'nsubj', ('it', 'PRP')), (('option', 'NN'), 'cop', ('s', 'VBZ')), (('option', 'NN'), 'nmod:poss', ('your', 'PRP$')), (('option', 'NN'), 'amod', ('only', 'JJ')), (('option', 'NN'), 'acl:relcl', ('got', 'VBD')), (('got', 'VBD'), 'nsubj', ('I', 'PRP')), (('got', 'VBD'), 'nmod', ('half', 'PDT')), (('half', 'PDT'), 'case', ('through', 'IN')), (('half', 'PDT'), 'advmod', ('about', 'RB')), (('got', 'VBD'), 'dobj', ('kimchee', 'NN')), (('kimchee', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('kimchee', 'NN'), 'acl', ('found', 'VBD')), (('found', 'VBD'), 'mark', ('before', 'IN')), (('found', 'VBD'), 'nsubj', ('I', 'PRP')), (('found', 'VBD'), 'dobj', ('piece', 'NN')), (('piece', 'NN'), 'det', ('a', 'DT')), (('piece', 'NN'), 'nmod', ('lettuce', 'NN')), (('lettuce', 'NN'), 'case', ('of', 'IN')), (('lettuce', 'NN'), 'amod', ('random', 'JJ')), (('lettuce', 'NN'), 'acl', ('accompanied', 'VBN')), (('accompanied', 'VBN'), 'nmod', ('piece', 'NN')), (('piece', 'NN'), 'case', ('by', 'IN')), (('piece', 'NN'), 'det', ('a', 'DT')), (('piece', 'NN'), 'amod', ('disgusting', 'JJ')), (('disgusting', 'JJ'), 'advmod', ('far', 'RB')), (('disgusting', 'JJ'), 'advmod', ('more', 'RBR')), (('disgusting', 'JJ'), 'dep', ('slimy', 'IN')), (('disgusting', 'JJ'), 'dep', ('bad', 'JJ')), (('bad', 'JJ'), 'advmod', ('clearly', 'RB')), (('piece', 'NN'), 'nmod', ('skin', 'NN')), (('skin', 'NN'), 'case', ('of', 'IN')), (('skin', 'NN'), 'compound', ('fish', 'NN'))];kimchee got my found;kimchee through half my
866;positive;AMBIENCE#GENERAL;scene;26:31;It is quite a spectacular scene i'll give them that.;quite spectacular scene give;[(('scene', 'NN'), 'nsubj', ('It', 'PRP')), (('scene', 'NN'), 'cop', ('is', 'VBZ')), (('scene', 'NN'), 'advmod', ('quite', 'RB')), (('scene', 'NN'), 'det', ('a', 'DT')), (('scene', 'NN'), 'amod', ('spectacular', 'JJ')), (('scene', 'NN'), 'acl:relcl', ('give', 'VBP')), (('give', 'VBP'), 'nsubj', ('ll', 'NNP')), (('ll', 'NNP'), 'compound', ('i', 'NNP')), (('give', 'VBP'), 'iobj', ('them', 'PRP')), (('give', 'VBP'), 'dobj', ('that', 'DT'))];scene it is quite a spectacular give;scene is quite a spectacular
867;positive;RESTAURANT#GENERAL;Fish;35:39;Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!;went day oyster binge fish bringing closing glad place trip ended great;[(('Went', 'VB'), 'advcl', ('bringing', 'VBG')), (('bringing', 'VBG'), 'mark', ('on', 'IN')), (('bringing', 'VBG'), 'nsubj', ('binge', 'NN')), (('binge', 'NN'), 'det', ('a', 'DT')), (('binge', 'NN'), 'compound', ('day', 'NN')), (('binge', 'NN'), 'compound', ('oyster', 'NN')), (('binge', 'NN'), 'nmod', ('Fish', 'NN')), (('Fish', 'NN'), 'case', ('with', 'IN')), (('bringing', 'VBG'), 'compound:prt', ('up', 'RP')), (('bringing', 'VBG'), 'dobj', ('closing', 'NN')), (('closing', 'NN'), 'det', ('the', 'DT')), (('bringing', 'VBG'), 'cc', ('and', 'CC')), (('bringing', 'VBG'), 'conj', ('glad', 'JJ')), (('glad', 'JJ'), 'nsubj', ('I', 'PRP')), (('glad', 'JJ'), 'cop', ('am', 'VBP')), (('glad', 'JJ'), 'advmod', ('so', 'RB')), (('glad', 'JJ'), 'ccomp', ('place', 'NN')), (('place', 'NN'), 'nsubj', ('this', 'DT')), (('place', 'NN'), 'cop', ('was', 'VBD')), (('place', 'NN'), 'det', ('the', 'DT')), (('place', 'NN'), 'acl:relcl', ('O', 'VBP')), (('O', 'VBP'), 'nsubj', ('it', 'PRP')), (('O', 'VBP'), 'ccomp', ('ended', 'VBD')), (('ended', 'VBD'), 'nsubj', ('trip', 'NN')), (('ended', 'VBD'), 'advcl', ('great', 'JJ')), (('great', 'JJ'), 'mark', ('because', 'IN')), (('great', 'JJ'), 'nsubj', ('it', 'PRP')), (('great', 'JJ'), 'cop', ('was', 'VBD')), (('great', 'JJ'), 'advmod', ('so', 'RB'))];fish binge with;fish bringing
868;positive;LOCATION#GENERAL;location;90:98;Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.;love scene first place character nice light fortunate location wise;[(('Love', 'VBG'), 'dobj', ('scene', 'NN')), (('scene', 'NN'), 'det', ('the', 'DT')), (('Love', 'VBG'), 'advmod', ('first', 'RB')), (('Love', 'VBG'), 'nmod', ('place', 'NN')), (('place', 'NN'), 'case', ('off', 'IN')), (('place', 'NN'), 'det', ('the', 'DT')), (('Love', 'VBG'), 'dep', ('has', 'VBZ')), (('has', 'VBZ'), 'dobj', ('light', 'NN')), (('light', 'NN'), 'det', ('a', 'DT')), (('light', 'NN'), 'compound', ('character', 'NN')), (('character', 'NN'), 'cc', ('and', 'CC')), (('character', 'NN'), 'conj', ('nice', 'JJ')), (('light', 'NN'), 'nmod', ('it', 'PRP')), (('it', 'PRP'), 'case', ('to', 'TO')), (('light', 'NN'), 'amod', ('fortunate', 'JJ')), (('fortunate', 'JJ'), 'advmod', ('very', 'RB')), (('Love', 'VBG'), 'nsubj', ('location', 'NN')), (('location', 'NN'), 'amod', ('wise', 'JJ'))];location love wise;location wise fortunate
869;negative;RESTAURANT#GENERAL;place;5:10;Cute place, nice wait staff but would never go there again.;cute place nice wait staff but would never go;[(('place', 'VBP'), 'nsubj', ('Cute', 'NNP')), (('place', 'VBP'), 'dobj', ('staff', 'NN')), (('staff', 'NN'), 'amod', ('nice', 'JJ')), (('staff', 'NN'), 'compound', ('wait', 'NN')), (('place', 'VBP'), 'cc', ('but', 'CC')), (('place', 'VBP'), 'conj', ('go', 'VB')), (('go', 'VB'), 'aux', ('would', 'MD')), (('go', 'VB'), 'neg', ('never', 'RB')), (('go', 'VB'), 'advmod', ('there', 'RB')), (('go', 'VB'), 'advmod', ('again', 'RB'))];place cute staff but go;place staff cute
870;negative;FOOD#PRICES;food;4:8;The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.;food get pricey but prixe fixe tasting menu greatest food good price cater food food allergies food don like;[(('get', 'VB'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('The', 'DT')), (('get', 'VB'), 'aux', ('can', 'MD')), (('get', 'VB'), 'xcomp', ('pricey', 'JJ')), (('get', 'VB'), 'cc', ('but', 'CC')), (('get', 'VB'), 'conj', ('food', 'NN')), (('food', 'NN'), 'nsubj', ('menu', 'NN')), (('menu', 'NN'), 'det', ('the', 'DT')), (('menu', 'NN'), 'amod', ('tasting', 'NN')), (('tasting', 'NN'), 'amod', ('prixe', 'JJ')), (('tasting', 'NN'), 'amod', ('fixe', 'JJ')), (('food', 'NN'), 'cop', ('is', 'VBZ')), (('food', 'NN'), 'det', ('the', 'DT')), (('food', 'NN'), 'amod', ('greatest', 'JJS')), (('food', 'NN'), 'nmod', ('price', 'NN')), (('price', 'NN'), 'case', ('for', 'IN')), (('price', 'NN'), 'det', ('a', 'DT')), (('price', 'NN'), 'amod', ('good', 'JJ')), (('get', 'VB'), 'cc', ('and', 'CC')), (('get', 'VB'), 'conj', ('cater', 'VBP')), (('cater', 'VBP'), 'nsubj', ('they', 'PRP')), (('cater', 'VBP'), 'dobj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('cater', 'VBP'), 'nmod', ('allergies', 'NNS')), (('allergies', 'NNS'), 'case', ('to', 'TO')), (('allergies', 'NNS'), 'det', ('any', 'DT')), (('allergies', 'NNS'), 'compound', ('food', 'NN')), (('allergies', 'NNS'), 'cc', ('or', 'CC')), (('allergies', 'NNS'), 'conj', ('food', 'NN')), (('allergies', 'NNS'), 'acl:relcl', ('don', 'VB')), (('don', 'VB'), 'nsubj', ('you', 'PRP')), (('don', 'VB'), 'dobj', ('t', 'NN')), (('don', 'VB'), 'nmod', ('like', 'IN'))];food get the get menu is the greatest price cater the allergies allergies;food get the food is the greatest for food cater the food allergies food allergies
871;negative;AMBIENCE#GENERAL;decor;39:44;The only thing that strikes you is the decor?(not very pleasant).;thing strikes decor not pleasant;[(('pleasant', 'JJ'), 'nsubj', ('thing', 'NN')), (('thing', 'NN'), 'det', ('The', 'DT')), (('thing', 'NN'), 'amod', ('only', 'JJ')), (('thing', 'NN'), 'acl:relcl', ('strikes', 'VBZ')), (('strikes', 'VBZ'), 'nsubj', ('that', 'WDT')), (('strikes', 'VBZ'), 'dobj', ('you', 'PRP')), (('pleasant', 'JJ'), 'cop', ('is', 'VBZ')), (('pleasant', 'JJ'), 'neg', ('not', 'RB')), (('not', 'RB'), 'nmod:npmod', ('decor', 'NN')), (('decor', 'NN'), 'det', ('the', 'DT')), (('pleasant', 'JJ'), 'advmod', ('very', 'RB'))];decor not the;decor is the
872;negative;FOOD#QUALITY;Go Go Hamburgers;15:31;Do not get the Go Go Hamburgers, no matter what the reviews say.;not get go go hamburgers no matter reviews say;[(('get', 'VB'), 'aux', ('Do', 'VB')), (('get', 'VB'), 'neg', ('not', 'RB')), (('get', 'VB'), 'dobj', ('Hamburgers', 'NNPS')), (('Hamburgers', 'NNPS'), 'det', ('the', 'DT')), (('Hamburgers', 'NNPS'), 'compound', ('Go', 'NNP')), (('Hamburgers', 'NNPS'), 'compound', ('Go', 'NNP')), (('get', 'VB'), 'advmod', ('matter', 'NN')), (('matter', 'NN'), 'neg', ('no', 'DT')), (('matter', 'NN'), 'ccomp', ('say', 'VBP')), (('say', 'VBP'), 'dobj', ('what', 'WP')), (('say', 'VBP'), 'nsubj', ('reviews', 'NNS')), (('reviews', 'NNS'), 'det', ('the', 'DT'))];go hamburgers hamburgers go hamburgers hamburgers hamburgers get the go go;go go the go get go hamburgers hamburgers go
873;positive;RESTAURANT#GENERAL;Corona;103:109;If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.;venture island manhattan seem find great italian restaurant drive corona;[(('venture', 'VB'), 'mark', ('If', 'IN')), (('venture', 'VB'), 'nsubj', ('you', 'PRP')), (('venture', 'VB'), 'compound:prt', ('off', 'RP')), (('venture', 'VB'), 'dobj', ('island', 'NN')), (('island', 'NN'), 'det', ('the', 'DT')), (('island', 'NN'), 'nmod', ('Manhattan', 'NNP')), (('Manhattan', 'NNP'), 'case', ('of', 'IN')), (('venture', 'VB'), 'cc', ('and', 'CC')), (('venture', 'VB'), 'conj', ('seem', 'VB')), (('seem', 'VB'), 'aux', ('can', 'MD')), (('seem', 'VB'), 'advmod', ('t', 'RB')), (('seem', 'VB'), 'xcomp', ('find', 'VB')), (('find', 'VB'), 'mark', ('to', 'TO')), (('find', 'VB'), 'dobj', ('drive', 'NN')), (('drive', 'NN'), 'det', ('a', 'DT')), (('drive', 'NN'), 'amod', ('great', 'JJ')), (('drive', 'NN'), 'amod', ('Italian', 'JJ')), (('drive', 'NN'), 'compound', ('restaurant', 'NN')), (('find', 'VB'), 'nmod', ('Corona', 'NNP')), (('Corona', 'NNP'), 'case', ('to', 'TO'))];corona find to;corona to
874;positive;RESTAURANT#GENERAL;mare;19:23;We all agreed that mare is one of the best seafood restaurants in New York.;agreed mare one best seafood restaurants new york;[(('agreed', 'VBD'), 'nsubj', ('We', 'PRP')), (('agreed', 'VBD'), 'advmod', ('all', 'DT')), (('agreed', 'VBD'), 'ccomp', ('one', 'CD')), (('one', 'CD'), 'mark', ('that', 'IN')), (('one', 'CD'), 'nsubj', ('mare', 'NN')), (('one', 'CD'), 'cop', ('is', 'VBZ')), (('one', 'CD'), 'nmod', ('restaurants', 'NNS')), (('restaurants', 'NNS'), 'case', ('of', 'IN')), (('restaurants', 'NNS'), 'det', ('the', 'DT')), (('restaurants', 'NNS'), 'amod', ('best', 'JJS')), (('restaurants', 'NNS'), 'compound', ('seafood', 'NN')), (('restaurants', 'NNS'), 'nmod', ('York', 'NNP')), (('York', 'NNP'), 'case', ('in', 'IN')), (('York', 'NNP'), 'compound', ('New', 'NNP'))];mare one;mare is
875;positive;RESTAURANT#GENERAL;restaurant;61:71;Our family never expected such incredible entertainment in a restaurant.;family never expected incredible entertainment restaurant;[(('expected', 'VBD'), 'nsubj', ('family', 'NN')), (('family', 'NN'), 'nmod:poss', ('Our', 'PRP$')), (('expected', 'VBD'), 'neg', ('never', 'RB')), (('expected', 'VBD'), 'dobj', ('entertainment', 'NN')), (('entertainment', 'NN'), 'amod', ('such', 'JJ')), (('entertainment', 'NN'), 'amod', ('incredible', 'JJ')), (('entertainment', 'NN'), 'nmod', ('restaurant', 'NN')), (('restaurant', 'NN'), 'case', ('in', 'IN')), (('restaurant', 'NN'), 'det', ('a', 'DT'))];restaurant entertainment in a;restaurant in a
876;positive;FOOD#QUALITY;sushi;29:34;We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.;particular sushi please every choice included ceviche mix special crab dumplings assorted sashimi sushi rolls two types sake banana tempura;[(('particular', 'JJ'), 'nsubj', ('We', 'PRP')), (('particular', 'JJ'), 'cop', ('are', 'VBP')), (('particular', 'JJ'), 'advmod', ('very', 'RB')), (('particular', 'JJ'), 'nmod', ('sushi', 'NN')), (('sushi', 'NN'), 'case', ('about', 'IN')), (('particular', 'JJ'), 'cc', ('and', 'CC')), (('particular', 'JJ'), 'conj', ('please', 'NN')), (('please', 'NN'), 'cop', ('were', 'VBD')), (('please', 'NN'), 'det', ('both', 'DT')), (('please', 'NN'), 'nmod', ('choice', 'NN')), (('choice', 'NN'), 'case', ('with', 'IN')), (('choice', 'NN'), 'det', ('every', 'DT')), (('choice', 'NN'), 'acl:relcl', ('included', 'VBD')), (('included', 'VBD'), 'nsubj', ('which', 'WDT')), (('included', 'VBD'), 'xcomp', ('sushi', 'NN')), (('sushi', 'NN'), 'nsubj', ('dumplings', 'NNS')), (('dumplings', 'NNS'), 'amod', ('ceviche', 'JJ')), (('dumplings', 'NNS'), 'compound', ('mix', 'NN')), (('dumplings', 'NNS'), 'amod', ('special', 'JJ')), (('dumplings', 'NNS'), 'compound', ('crab', 'NN')), (('sushi', 'NN'), 'amod', ('assorted', 'JJ')), (('sushi', 'NN'), 'compound', ('sashimi', 'NN')), (('included', 'VBD'), 'cc', ('and', 'CC')), (('included', 'VBD'), 'conj', ('rolls', 'VBZ')), (('rolls', 'VBZ'), 'dobj', ('types', 'NNS')), (('types', 'NNS'), 'nummod', ('two', 'CD')), (('types', 'NNS'), 'nmod', ('sake', 'NN')), (('sake', 'NN'), 'case', ('of', 'IN')), (('sake', 'NN'), 'cc', ('and', 'CC')), (('sake', 'NN'), 'conj', ('tempura', 'NN')), (('tempura', 'NN'), 'det', ('the', 'DT')), (('tempura', 'NN'), 'compound', ('banana', 'NN'))];sushi particular about included dumplings assorted sashimi;sushi about sushi assorted sashimi
877;positive;FOOD#QUALITY;Indian;20:26;They have authentic Indian at amazin prices.;authentic indian amazin prices;[(('have', 'VBP'), 'nsubj', ('They', 'PRP')), (('have', 'VBP'), 'dobj', ('Indian', 'NNP')), (('Indian', 'NNP'), 'compound', ('authentic', 'NNP')), (('Indian', 'NNP'), 'nmod', ('prices', 'NNS')), (('prices', 'NNS'), 'case', ('at', 'IN')), (('prices', 'NNS'), 'compound', ('amazin', 'NN'))];indian have authentic prices;indian have authentic
878;positive;AMBIENCE#GENERAL;place;22:27;However, I think this place is a good hang out spot.;however think place good hang spot;[(('think', 'VBP'), 'advmod', ('However', 'RB')), (('think', 'VBP'), 'nsubj', ('I', 'PRP')), (('think', 'VBP'), 'ccomp', ('hang', 'NN')), (('hang', 'NN'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('this', 'DT')), (('hang', 'NN'), 'cop', ('is', 'VBZ')), (('hang', 'NN'), 'det', ('a', 'DT')), (('hang', 'NN'), 'amod', ('good', 'JJ')), (('hang', 'NN'), 'nmod', ('spot', 'NN')), (('spot', 'NN'), 'case', ('out', 'IN'))];place hang this;place is this
879;negative;FOOD#QUALITY;dish;42:46;My wife had barely touched that mess of a dish.;wife barely touched mess dish;[(('touched', 'VBN'), 'nsubj', ('wife', 'NN')), (('wife', 'NN'), 'nmod:poss', ('My', 'PRP$')), (('touched', 'VBN'), 'aux', ('had', 'VBD')), (('touched', 'VBN'), 'advmod', ('barely', 'RB')), (('touched', 'VBN'), 'dobj', ('mess', 'NN')), (('mess', 'NN'), 'det', ('that', 'DT')), (('mess', 'NN'), 'nmod', ('dish', 'NN')), (('dish', 'NN'), 'case', ('of', 'IN')), (('dish', 'NN'), 'det', ('a', 'DT'))];dish mess of a;dish of a
